Vs,Vr,Vl,I
0.0000000,0.0031759,-0.0031759,0.0031759
0.0000000,0.0028737,-0.0028737,0.0028737
0.0000000,0.0026002,-0.0026002,0.0026002
0.0000000,0.0023528,-0.0023528,0.0023528
0.0000000,0.0021289,-0.0021289,0.0021289
0.0000000,0.0019263,-0.0019263,0.0019263
0.0000000,0.0017430,-0.0017430,0.0017430
0.0000000,0.0015771,-0.0015771,0.0015771
0.0000000,0.0014270,-0.0014270,0.0014270
0.0000000,0.0012912,-0.0012912,0.0012912
0.0000000,0.0011683,-0.0011683,0.0011683
0.0000000,0.0010572,-0.0010572,0.0010572
0.0000000,0.0009566,-0.0009566,0.0009566
0.0000000,0.0008655,-0.0008655,0.0008655
0.0000000,0.0007832,-0.0007832,0.0007832
0.0000000,0.0000000,0.0000000,0.0000000
-1.0000000,0.0000000,-1.0000000,0.0000000
0.0000000,-0.0951626,0.0951626,-0.0951626
0.0000000,-0.0861067,0.0861067,-0.0861067
0.0000000,-0.0779125,0.0779125,-0.0779125
0.0000000,-0.0704982,0.0704982,-0.0704982
0.0000000,-0.0637894,0.0637894,-0.0637894
0.0000000,-0.0577190,0.0577190,-0.0577190
0.0000000,-0.0522263,0.0522263,-0.0522263
0.0000000,-0.0472563,0.0472563,-0.0472563
0.0000000,-0.0427593,0.0427593,-0.0427593
0.0000000,-0.0386902,0.0386902,-0.0386902
0.0000000,-0.0350084,0.0350084,-0.0350084
0.0000000,-0.0316769,0.0316769,-0.0316769
0.0000000,-0.0286624,0.0286624,-0.0286624
0.0000000,-0.0259348,0.0259348,-0.0259348
0.0000000,-0.0234668,0.0234668,-0.0234668
0.0000000,-0.0212336,0.0212336,-0.0212336
0.0000000,-0.0192130,0.0192130,-0.0192130
0.0000000,-0.0173846,0.0173846,-0.0173846
0.0000000,-0.0157303,0.0157303,-0.0157303
0.0000000,-0.0142333,0.0142333,-0.0142333
0.0000000,-0.0128789,0.0128789,-0.0128789
0.0000000,-0.0116533,0.0116533,-0.0116533
0.0000000,-0.0105443,0.0105443,-0.0105443
0.0000000,-0.0095409,0.0095409,-0.0095409
0.0000000,-0.0086330,0.0086330,-0.0086330
0.0000000,-0.0078114,0.0078114,-0.0078114
0.0000000,-0.0070681,0.0070681,-0.0070681
0.0000000,-0.0063955,0.0063955,-0.0063955
0.0000000,-0.0057868,0.0057868,-0.0057868
0.0000000,-0.0052362,0.0052362,-0.0052362
0.0000000,-0.0047379,0.0047379,-0.0047379
0.0000000,-0.0042870,0.0042870,-0.0042870
0.0000000,-0.0038790,0.0038790,-0.0038790
0.0000000,-0.0035099,0.0035099,-0.0035099
0.0000000,-0.0031759,0.0031759,-0.0031759
0.0000000,-0.0028737,0.0028737,-0.0028737
0.0000000,-0.0026002,0.0026002,-0.0026002
0.0000000,-0.0023528,0.0023528,-0.0023528
0.0000000,-0.0021289,0.0021289,-0.0021289
0.0000000,-0.0019263,0.0019263,-0.0019263
0.0000000,-0.0017430,0.0017430,-0.0017430
0.0000000,-0.0015771,0.0015771,-0.0015771
0.0000000,-0.0014270,0.0014270,-0.0014270
0.0000000,-0.0012912,0.0012912,-0.0012912
0.0000000,-0.0011683,0.0011683,-0.0011683
0.0000000,-0.0010572,0.0010572,-0.0010572
0.0000000,-0.0009566,0.0009566,-0.0009566
0.0000000,-0.0008655,0.0008655,-0.0008655
0.0000000,-0.0007832,0.0007832,-0.0007832
